"parent","subparent","labels"
"Overview/Interior","Overview of risk","Finished Area Overview,Another one,test 3,test 4,New category added by andrew"
"Overview/Interior","Interior Room","Test"
"Overview/Interior","Finished Area",""
"Overview/Interior","Un-Finished Area",""
"Overview/Interior","Test 123",""
"Overview/Interior","Test 12345","Test 123456"
"Ground Inspection","there should be something here right?","test"
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Ground Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Roof Inspection","test 2",""
"Wind, Hail & Tree Impacts (Roofing)","test 2",""
"Wind, Hail & Tree Impacts (Roofing)","test 2",""
"Wind, Hail & Tree Impacts (Roofing)","test 2",""
"Wind, Hail & Tree Impacts (Roofing)","test 2",""
"Wind, Hail & Tree Impacts (Roofing)","test 2",""
"Wind, Hail & Tree Impacts (Roofing)","test 2",""
"Wind, Hail & Tree Impacts (Roofing)","test 2",""
"Contractor's Opinion of Damages","trwetrtwre",""
"Contractor's Opinion of Damages","more content here",""
"Contractor's Opinion of Damages","fdsafasd",""
"Contractor's Opinion of Damages","test 2",""
"Other Mechanical Damages","test 2",""
"Other Mechanical Damages","test 2",""
"Other Mechanical Damages","test 2",""
"Other Mechanical Damages","test 2",""
"Other Mechanical Damages","test 2",""
"Other Mechanical Damages","test 2",""
"Other Mechanical Damages","test 2",""
"Other Mechanical Damages","test 2",""
"Other Mechanical Damages","test 2",""
"Other Mechanical Damages","test 2",""
"Other Mechanical Damages","test 2",""
"Additional Structure","test 2",""
"Additional Structure","test 2",""
"Additional Structure","test 2",""
"Additional Structure","test 2",""
"Additional Structure","test 2",""
"Additional Structure","test 2",""
"Additional Structure","test 2",""
"Additional Structure","test 2",""
"Additional Structure","test 2",""
"Additional Structure 2","test 2",""
"Additional Structure 3","test 2",""
"Additional Structure 3","test 2",""
"Additional Structure 3","test 2",""
"Additional Structure 4","test 2",""
"Additional Structure 4","test 2",""
"Additional Structure 4","test 2",""
"Additional Structure 5","",""
"Additional Structure 6","base child parent","label 1"
"Additional Structure 6","another child",""
"Additional Structure 6","base child",""
"Additional Structure 7","New child",""
"Additional Structure 8","",""
"Additional Structure 9","",""
"Additional Structure 10","",""
"Other","Test",""
"Other","",""
